0	CPR:9	Glycylsarcosine coadministration could inhibit the uptake of @CHEMICAL$ in PEPT2(+/+) mice (p < 0.01) but not @GENE$(-/-) mice.
1	CPRFalse	The influence of sex, ethnicity, and CYP2B6 genotype on @CHEMICAL$ metabolism as an index of hepatic @GENE$ activity in humans.
2	CPRFalse	MATERIALS AND METHODS: Each patient underwent two PET scans with 3-N-[(11)C]methylspiperone (target: frontal 5-HT(2A)), @CHEMICAL$ (striatal @GENE$) or [(11)C]raclopride (striatal D(2)).
3	CPRFalse	@CHEMICAL$ is metabolized to its active metabolite, 9-hydroxyrisperidone, mainly by the cytochrome P450 enzymes @GENE$.
4	CPRFalse	Feeding @CHEMICAL$-deficient RCC cells with @GENE$ or citrate or knocking down PDK-1 and ACLY restored citrate levels and suppressed RC.
5	CPRFalse	As the Janus @CHEMICAL$ kinase 2 (Jak2)/signal transducer and activator of transcription 3 (Stat3) pathway has been shown to be functionally associated with ErbB receptors, we asked if this pathway could mediate @GENE$/Rac1 activation in response to ErbB ligands.
6	CPR:4	In the current study, we reveal the inhibitory effects of @CHEMICAL$ on the metabolism of dextromethorphan (DXM), a dual probe substrate of CYP2D and @GENE$, in rats.
7	CPR:4	On the basis of FIP1L1-PDGFRa fusion gene hypereosinophilic syndrome would be classified as a clonal disease and in the FIP1L1-PDGFRa positive cases the @CHEMICAL$ inhibitor @GENE$ (Glivec) would be effective.
8	CPRFalse	Treatment of HDP cells with a c-Jun NH2-terminal kinase (@CHEMICAL$) inhibitor also reduced @GENE$-induced HO-1 expression, and butein treatment led to increased JNK phosphorylation.
9	CPRFalse	It is concluded that the high affinity aldosterone receptor of rat brain, which had been identified in preliminary studies as a @CHEMICAL$, may bind either corticosterone or @GENE$ in vivo.
10	CPRFalse	In the in vitro assay, kinsenoside (20 and 50mg/mL) markedly inhibited changes in various biochemical substances (nitric oxide (@CHEMICAL$), lactic dehydrogenase (@GENE$), superoxide dismutase (SOD), and catalase (CAT)) in human umbilical vein endothelial cells (HUVECs) damaged by high glucose (35mM) and restored vascular endothelial structure by balancing the matrix metalloproteinases-the tissue inhibitors of matrix metalloproteinases (MMP-TIMP) system.
11	CPR:6	Brain but not spinal NR2B receptor is responsible for the anti-allodynic effect of an @CHEMICAL$ subunit-selective antagonist @GENE$ in a rat chronic constriction injury model.
12	CPRFalse	Also, ursolic acid enhanced the cleavages of @CHEMICAL$ polymerase (PARP) and caspase3, attenuated the expression of astrocyte elevated gene (@GENE$) and survivin in HepG2 cells.
