Naloxone	227508	0	B
reverses	-	9	O
the	-	18	O
antihypertensive	-	22	O
effect	-	39	O
of	-	46	O
clonidine	-	49	B
.	-	58	O

In	227508	60	O
unanesthetized	-	63	O
,	-	77	O
spontaneously	-	79	O
hypertensive	-	93	O
rats	-	106	O
the	-	111	O
decrease	-	115	O
in	-	124	O
blood	-	127	O
pressure	-	133	O
and	-	142	O
heart	-	146	O
rate	-	152	O
produced	-	157	O
by	-	166	O
intravenous	-	169	O
clonidine	-	181	B
,	-	190	O
5	-	192	O
to	-	194	O
20	-	197	O
micrograms	-	200	O
/	-	210	O
kg	-	211	O
,	-	213	O
was	-	215	O
inhibited	-	219	O
or	-	229	O
reversed	-	232	O
by	-	241	O
nalozone	-	244	B
,	-	252	O
0	-	254	O
.	-	255	O
2	-	256	O
to	-	258	O
2	-	261	O
mg	-	263	O
/	-	265	O
kg	-	266	O
.	-	268	O

The	227508	270	O
hypotensive	-	274	O
effect	-	286	O
of	-	293	O
100	-	296	O
mg	-	300	O
/	-	302	O
kg	-	303	O
alpha	-	306	B
-	-	311	I
methyldopa	-	312	I
was	-	323	O
also	-	327	O
partially	-	332	O
reversed	-	342	O
by	-	351	O
naloxone	-	354	B
.	-	362	O

Naloxone	227508	364	B
alone	-	373	O
did	-	379	O
not	-	383	O
affect	-	387	O
either	-	394	O
blood	-	401	O
pressure	-	407	O
or	-	416	O
heart	-	419	O
rate	-	425	O
.	-	429	O

In	227508	431	O
brain	-	434	O
membranes	-	440	O
from	-	450	O
spontaneously	-	455	O
hypertensive	-	469	O
rats	-	482	O
clonidine	-	487	B
,	-	496	O
10	-	498	O
(	-	500	O
-	-	501	O
8	-	502	O
)	-	503	O
to	-	505	O
10	-	508	O
(	-	510	O
-	-	511	O
5	-	512	O
)	-	513	O

M	227508	515	O
,	-	516	O
did	-	518	O
not	-	522	O
influence	-	526	O
stereoselective	-	536	O
binding	-	552	O
of	-	560	O
[	-	563	B
3H	-	564	I
]	-	566	I
-	-	567	I
naloxone	-	568	I
(	-	577	O
8	-	578	O
nM	-	580	O
)	-	582	O
,	-	583	O
and	-	585	O
naloxone	-	589	B
,	-	597	O
10	-	599	O
(	-	601	O
-	-	602	O
8	-	603	O
)	-	604	O
to	-	606	O
10	-	609	O
(	-	611	O
-	-	612	O
4	-	613	O
)	-	614	O

M	227508	616	O
,	-	617	O
did	-	619	O
not	-	623	O
influence	-	627	O
clonidine	-	637	B
-	-	646	O
suppressible	-	647	O
binding	-	660	O
of	-	668	O
[	-	671	B
3H	-	672	I
]	-	674	I
-	-	675	I
dihydroergocryptine	-	676	I
(	-	696	O
1	-	697	O
nM	-	699	O
)	-	701	O
.	-	702	O

These	227508	704	O
findings	-	710	O
indicate	-	719	O
that	-	728	O
in	-	733	O
spontaneously	-	736	O
hypertensive	-	750	O
rats	-	763	O
the	-	768	O
effects	-	772	O
of	-	780	O
central	-	783	O
alpha	-	791	O
-	-	796	O
adrenoceptor	-	797	O
stimulation	-	810	O
involve	-	822	O
activation	-	830	O
of	-	841	O
opiate	-	844	O
receptors	-	851	O
.	-	860	O

As	227508	862	O
naloxone	-	865	B
and	-	874	O
clonidine	-	878	B
do	-	888	O
not	-	891	O
appear	-	895	O
to	-	902	O
interact	-	905	O
with	-	914	O
the	-	919	O
same	-	923	O
receptor	-	928	O
site	-	937	O
,	-	941	O
the	-	943	O
observed	-	947	O
functional	-	956	O
antagonism	-	967	O
suggests	-	978	O
the	-	987	O
release	-	991	O
of	-	999	O
an	-	1002	O
endogenous	-	1005	O
opiate	-	1016	O
by	-	1023	O
clonidine	-	1026	B
or	-	1036	O
alpha	-	1039	B
-	-	1044	I
methyldopa	-	1045	I
and	-	1056	O
the	-	1060	O
possible	-	1064	O
role	-	1073	O
of	-	1078	O
the	-	1081	O
opiate	-	1085	O
in	-	1092	O
the	-	1095	O
central	-	1099	O
control	-	1107	O
of	-	1115	O
sympathetic	-	1118	O
tone	-	1130	O
.	-	1134	O

Lidocaine	354896	0	B
-	-	9	O
induced	-	10	O
cardiac	-	18	O
asystole	-	26	O
.	-	34	O

Intravenous	354896	36	O
administration	-	48	O
of	-	63	O
a	-	66	O
single	-	68	O
50	-	75	O
-	-	77	O
mg	-	78	O
bolus	-	81	O
of	-	87	O
lidocaine	-	90	B
in	-	100	O
a	-	103	O
