Tricuspid	6794356	0	B
valve	-	10	I
regurgitation	-	16	I
and	-	30	O
lithium	-	34	O
carbonate	-	42	O
toxicity	-	52	B
in	-	61	O
a	-	64	O
newborn	-	66	O
infant	-	74	O
.	-	80	O

A	6794356	82	O
newborn	-	84	O
with	-	92	O
massive	-	97	O
tricuspid	-	105	B
regurgitation	-	115	I
,	-	128	O
atrial	-	130	B
flutter	-	137	I
,	-	144	O
congestive	-	146	B
heart	-	157	I
failure	-	163	I
,	-	170	O
and	-	172	O
a	-	176	O
high	-	178	O
serum	-	183	O
lithium	-	189	O
level	-	197	O
is	-	203	O
described	-	206	O
.	-	215	O

This	6794356	217	O
is	-	222	O
the	-	225	O
first	-	229	O
patient	-	235	O
to	-	243	O
initially	-	246	O
manifest	-	256	O
tricuspid	-	265	B
regurgitation	-	275	I
and	-	289	O
atrial	-	293	B
flutter	-	300	I
,	-	307	O
and	-	309	O
the	-	313	O
11th	-	317	O
described	-	322	O
patient	-	332	O
with	-	340	O
cardiac	-	345	B
disease	-	353	I
among	-	361	O
infants	-	367	O
exposed	-	375	O
to	-	383	O
lithium	-	386	O
compounds	-	394	O
in	-	404	O
the	-	407	O
first	-	411	O
trimester	-	417	O
of	-	427	O
pregnancy	-	430	O
.	-	439	O

Sixty	6794356	441	O
-	-	446	O
three	-	447	O
percent	-	453	O
of	-	461	O
these	-	464	O
infants	-	470	O
had	-	478	O
tricuspid	-	482	O
valve	-	492	O
involvement	-	498	O
.	-	509	O

Lithium	6794356	511	O
carbonate	-	519	O
may	-	529	O
be	-	533	O
a	-	536	O
factor	-	538	O
in	-	545	O
the	-	548	O
increasing	-	552	O
incidence	-	563	O
of	-	573	O
congenital	-	576	B
heart	-	587	I
disease	-	593	I
when	-	601	O
taken	-	606	O
during	-	612	O
early	-	619	O
pregnancy	-	625	O
.	-	634	O

It	6794356	636	O
also	-	639	O
causes	-	644	O
neurologic	-	651	B
depression	-	662	I
,	-	672	O
cyanosis	-	674	B
,	-	682	O
and	-	684	O
cardiac	-	688	B
arrhythmia	-	696	I
when	-	707	O
consumed	-	712	O
prior	-	721	O
to	-	727	O
delivery	-	730	O
.	-	738	O

Phenobarbital	6504332	0	O
-	-	13	O
induced	-	14	O
dyskinesia	-	22	B
in	-	33	O
a	-	36	O
neurologically	-	38	B
-	-	52	I
impaired	-	53	I
child	-	62	O
.	-	67	O

A	6504332	69	O
2	-	71	O
-	-	72	O
year	-	73	O
-	-	77	O
old	-	78	O
child	-	82	O
with	-	88	O
known	-	93	O
neurologic	-	99	B
impairment	-	110	I
developed	-	121	O
a	-	131	O
dyskinesia	-	133	B
soon	-	144	O
after	-	149	O
starting	-	155	O
phenobarbital	-	164	O
therapy	-	178	O
for	-	186	O
seizures	-	190	B
.	-	198	O

Known	6504332	200	O
causes	-	206	O
of	-	213	O
movement	-	216	B
disorders	-	225	I
were	-	235	O
eliminated	-	240	O
after	-	251	O
evaluation	-	257	O
.	-	267	O

On	6504332	269	O
repeat	-	272	O
challenge	-	279	O
with	-	289	O
phenobarbital	-	294	O
,	-	307	O
the	-	309	O
dyskinesia	-	313	B
recurred	-	324	O
.	-	332	O

Phenobarbital	6504332	334	O
should	-	348	O
be	-	355	O
added	-	358	O
to	-	364	O
the	-	367	O
list	-	371	O
of	-	376	O
anticonvulsant	-	379	O
drugs	-	394	O
that	-	400	O
can	-	405	O
cause	-	409	O
